Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
OPWEF,OPAWICA EXPLS INC,OTCQB,0.069120,0.080000,680,Foreign Ordinary Shares,Canada,British Columbia
IMRFF,IMETAL RES INC,OTCQB,0.074000,0.091445,31350,Foreign Ordinary Shares,Canada,British Columbia
WMLLF,WEALTH MINERALS LTD,OTCQB,0.051500,0.000000,199000,Foreign Ordinary Shares,Canada,British Columbia
DGCMF,DIGITAL COMMODITIES INC,OTCQB,0.018000,-0.102244,68769,Foreign Ordinary Shares,Canada,British Columbia
DQJCF,PAN PAC INTL HLDGS CORP,Pink Limited,6.745000,0.038491,17866,Foreign Ordinary Shares,Japan,
ZIVO,ZIVO BIOSCIENCE INC,OTCQB,9.600000,-0.015385,175,Common Stock,USA,Michigan
ZIVOW,ZIVO BIOSCIENCE INC WTS,OTCID,0.050000,-0.019608,4570,Warrants,USA,Michigan
DIFTY,DAITO TR CONSTR SP/ADR,Pink Limited,5.790000,0.019366,57462,ADRs,Japan,
BDGR,BLACK DRAGON RES COS INC,OTCID,0.000001,0.000000,65714,Common Stock,USA,California
SYZLF,SYLOGIST LTD,Pink Limited,2.820100,-0.047296,1200,Foreign Ordinary Shares,Canada,Alberta
PINWF,PINEWOOD TECHS GROUP PLC,OTCQX,4.050000,-0.343598,50100,Foreign Ordinary Shares,United Kingdom,England
MBXBF,MICROBIX BIOSYSTEMS INC,OTCQX,0.177800,0.122758,30000,Foreign Ordinary Shares,Canada,Ontario
ACHFF,ARCH BIOPARTNERS INC ORD,OTCQB,0.612000,0.000000,37301,Foreign Ordinary Shares,Canada,Ontario
STSBF,SOUTH STAR BTTEY METALS,OTCQB,0.117600,0.069091,128102,Foreign Ordinary Shares,Canada,British Columbia
IDKFF,THREED CAPITAL INC,OTCQB,0.062700,0.045000,19068,Foreign Ordinary Shares,Canada,Ontario
QIND,QUALITY INDUSTRIAL CORP,OTCID,0.010100,0.020202,5280,Common Stock,USA,California
GEGP,GOLD ENTMT GROUP INC,OTCID,0.000150,0.000000,1044444,Common Stock,USA,Florida
RMHB,ROCKY MTN HIGH BRAND INC,OTCID,0.003200,-0.111111,7405,Common Stock,USA,Texas
RKUNY,RAKUTEN GROUP INC  S/ADR,Pink Limited,5.250000,-0.020522,29438,ADRs,Japan,
STHI,SPROUT TINY HOMES,OTCID,0.005600,0.000000,1000,Common Stock,USA,Colorado
MMMW,MASS MEGAWATTS WIND PWR,OTCID,0.102100,-0.360676,130,Common Stock,USA,Massachusetts
RNLSY,RENAULT SA UNSP/ADR,Pink Limited,7.610000,-0.001312,55192,ADRs,France,
TBTC,TABLE TRAC INC,OTCQX,4.010000,-0.024331,8985,Common Stock,USA,Minnesota
SFRX,SEAFARER EXPLORATION CORP,Pink Limited,0.002400,-0.040000,1106203,Common Stock,USA,Florida
STGZ,STARGAZE ENTMT GRP INC,OTCQB,0.030515,0.000000,2125,Common Stock,USA,Illinois
AVNI,ARVANA INC,OTCID,0.201000,-0.191797,5879,Common Stock,USA,Utah
GCCFF,GOLDEN CARIBOO RES LTD,OTCQB,0.062050,0.069828,40275,Foreign Ordinary Shares,Canada,British Columbia
CYSNF,C-COM SATELLITE SYS INC,OTCQB,0.762800,0.046896,16200,Foreign Ordinary Shares,Canada,Ontario
DGNOF,DIAGNOS INC,OTCQB,0.199900,-0.016724,146725,Foreign Ordinary Shares,Canada,Quebec
IBGR,NEXUS ENERGY SERVICES INC,OTCID,0.002400,-0.040000,1715500,Common Stock,USA,California
IMTL,IMAGE PROTECT INC,Pink Limited,0.000001,-0.990000,439702,Common Stock,USA,Florida
JBFCF,JOLLIBEE FOODS CORP,Pink Limited,3.750000,0.008065,2880,Foreign Ordinary Shares,Philippines,
PBSFY,PROSIEBENSAT1 MEDIA U/ADR,Pink Limited,1.310000,-0.022388,2631,ADRs,Germany,
CLPBY,COLOPLAST AS SP/ADR,Pink Limited,7.630000,-0.009091,305480,ADRs,Denmark,
ERVFF,BORON ONE HOLDINGS INC,Pink Limited,0.029000,-0.082859,2150,Foreign Ordinary Shares,Canada,British Columbia
NYWKF,NTG CLARITY NTWRK INC,Pink Limited,0.867000,0.096913,13700,Foreign Ordinary Shares,Canada,Ontario
HANNF,HANNAN METALS LTD ORD,Pink Limited,0.525000,-0.031276,55508,Foreign Ordinary Shares,Canada,British Columbia
LQWDF,LQWD TECHNOLOGIES CORP,OTCQX,0.783700,0.075034,3923,Foreign Ordinary Shares,Canada,British Columbia
GRUSF,GROWN RGUE INTL INC SB VT,OTCQB,0.350000,-0.062416,43768,Foreign Ordinary Shares,USA,Oregon
UBSFF,UBISOFT ENTMT INC,Pink Limited,5.400000,0.132075,658,Foreign Ordinary Shares,France,
