Ticker,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Dollars,Exit_Reason
AAPL,2025-10-10 11:00:00-04:00,251.15,2025-10-10 11:20:00-04:00,248.92,-18.04,Stop Loss
AAPL,2025-12-17 11:10:00-05:00,273.59,2025-12-17 11:30:00-05:00,272.71,-6.7,Stop Loss
AAPL,2026-01-22 14:55:00-05:00,248.64,2026-01-22 16:00:00-05:00,248.02,-5.31,EOD Close
AAPL,2026-02-25 14:55:00-05:00,273.29,2026-02-25 15:35:00-05:00,274.18,6.25,Take Profit
AAPL,2026-02-26 10:10:00-05:00,272.56,2026-02-26 10:20:00-05:00,271.39,-8.91,Stop Loss
AAPL,2026-03-25 09:45:00-04:00,252.44,2026-03-25 11:10:00-04:00,253.72,9.85,Take Profit
AVGO,2021-06-01 10:45:00-04:00,42.44,2021-06-01 13:45:00-04:00,42.48,-0.0,Time Stop
AVGO,2021-06-10 10:50:00-04:00,41.66,2021-06-10 12:50:00-04:00,42.02,15.52,Take Profit
AVGO,2021-07-01 09:50:00-04:00,42.97,2021-07-01 12:50:00-04:00,42.87,-6.52,Time Stop
AVGO,2021-08-18 09:45:00-04:00,43.22,2021-08-18 11:00:00-04:00,42.99,-12.26,Stop Loss
AVGO,2021-08-26 15:00:00-04:00,44.15,2021-08-26 15:25:00-04:00,44.29,4.7,Take Profit
AVGO,2021-09-01 14:30:00-04:00,44.98,2021-09-01 16:00:00-04:00,44.97,-2.22,EOD Close
AVGO,2021-09-02 09:50:00-04:00,44.9,2021-09-02 10:10:00-04:00,44.77,-7.62,Stop Loss
AVGO,2021-09-17 09:45:00-04:00,45.78,2021-09-17 12:45:00-04:00,45.91,3.93,Time Stop
AVGO,2021-11-24 09:45:00-05:00,50.34,2021-11-24 11:20:00-05:00,50.76,15.11,Take Profit
AVGO,2022-01-05 09:45:00-05:00,60.94,2022-01-05 12:45:00-05:00,60.48,-16.41,Time Stop
AVGO,2022-01-13 10:30:00-05:00,57.27,2022-01-13 11:00:00-05:00,56.95,-12.42,Stop Loss
AVGO,2022-02-14 14:00:00-05:00,52.81,2022-02-14 14:50:00-05:00,53.41,21.29,Take Profit
AVGO,2022-03-21 09:45:00-04:00,55.6,2022-03-21 12:45:00-04:00,55.42,-7.91,Time Stop
AVGO,2022-03-30 14:55:00-04:00,58.88,2022-03-30 15:20:00-04:00,58.6,-10.99,Stop Loss
AVGO,2022-04-05 09:45:00-04:00,58.26,2022-04-05 10:05:00-04:00,57.82,-16.35,Stop Loss
AVGO,2022-05-13 14:00:00-04:00,54.02,2022-05-13 14:50:00-04:00,54.42,13.5,Take Profit
AVGO,2022-05-16 09:45:00-04:00,53.87,2022-05-16 10:25:00-04:00,54.49,21.41,Take Profit
AVGO,2022-08-02 09:50:00-04:00,49.69,2022-08-02 10:50:00-04:00,50.1,15.07,Take Profit
AVGO,2022-08-16 09:45:00-04:00,51.64,2022-08-16 12:45:00-04:00,51.71,1.16,Time Stop
AVGO,2022-09-15 10:50:00-04:00,47.11,2022-09-15 11:55:00-04:00,46.74,-17.28,Stop Loss
AVGO,2022-10-11 14:50:00-04:00,40.61,2022-10-11 15:15:00-04:00,40.31,-16.88,Stop Loss
AVGO,2022-10-18 14:40:00-04:00,40.86,2022-10-18 16:00:00-04:00,41.15,12.24,EOD Close
AVGO,2022-10-31 09:45:00-04:00,44.13,2022-10-31 11:25:00-04:00,44.55,17.01,Take Profit
AVGO,2022-11-29 11:15:00-05:00,48.92,2022-11-29 14:00:00-05:00,49.4,18.17,Take Profit
AVGO,2022-12-05 09:55:00-05:00,50.64,2022-12-05 11:10:00-05:00,50.95,10.62,Take Profit
AVGO,2023-01-23 14:45:00-05:00,55.01,2023-01-23 15:50:00-05:00,55.42,13.36,Take Profit
AVGO,2023-02-02 14:50:00-05:00,57.79,2023-02-02 15:45:00-05:00,57.53,-10.29,Stop Loss
AVGO,2023-04-20 14:40:00-04:00,61.04,2023-04-20 15:20:00-04:00,60.7,-12.49,Stop Loss
AVGO,2023-05-08 09:45:00-04:00,59.72,2023-05-08 11:05:00-04:00,60.32,18.79,Take Profit
AVGO,2023-05-11 10:00:00-04:00,59.66,2023-05-11 12:40:00-04:00,60.03,10.9,Take Profit
AVGO,2023-06-13 09:45:00-04:00,81.15,2023-06-13 11:15:00-04:00,82.45,31.01,Take Profit
AVGO,2023-07-13 10:25:00-04:00,85.05,2023-07-13 13:00:00-04:00,86.02,21.91,Take Profit
AVGO,2023-08-24 09:45:00-04:00,85.23,2023-08-24 10:40:00-04:00,84.04,-28.9,Stop Loss
AVGO,2023-09-18 14:50:00-04:00,81.78,2023-09-18 16:00:00-04:00,82.13,7.58,EOD Close
AVGO,2023-10-13 11:00:00-04:00,86.89,2023-10-13 13:25:00-04:00,86.07,-19.72,Stop Loss
AVGO,2023-11-22 14:35:00-05:00,94.56,2023-11-22 16:00:00-05:00,94.54,-1.27,EOD Close
AVGO,2024-01-24 14:20:00-05:00,122.37,2024-01-24 16:00:00-05:00,122.39,-0.33,EOD Close
AVGO,2024-02-12 09:45:00-05:00,124.01,2024-02-12 10:55:00-05:00,125.24,19.16,Take Profit
AVGO,2024-02-15 09:50:00-05:00,121.57,2024-02-15 10:50:00-05:00,123.61,32.96,Take Profit
AVGO,2024-03-21 14:05:00-04:00,133.39,2024-03-21 16:00:00-04:00,132.06,-20.49,Stop Loss
AVGO,2024-04-09 10:30:00-04:00,129.45,2024-04-09 13:30:00-04:00,129.85,5.56,Time Stop
AVGO,2024-05-28 09:45:00-04:00,136.91,2024-05-28 10:55:00-04:00,138.1,16.85,Take Profit
AVGO,2024-06-11 09:45:00-04:00,139.05,2024-06-11 10:25:00-04:00,140.57,21.22,Take Profit
AVGO,2024-07-11 09:45:00-04:00,170.41,2024-07-11 09:50:00-04:00,168.93,-17.82,Stop Loss
