Ticker,Type,Entry_Time,PnL,Reason
NVDA,LONG,2023-07-07 13:20:00-04:00,28.787185891348237,Take Profit
NVDA,LONG,2024-04-03 10:25:00-04:00,26.623591133308935,Take Profit
NVDA,LONG,2024-07-03 11:00:00-04:00,25.486816531592748,Take Profit
NVDA,LONG,2024-08-23 15:45:00-04:00,18.032169625942778,End of Day Exit
NVDA,LONG,2024-10-11 10:50:00-04:00,-12.421221114408167,Stop Loss
NVDA,LONG,2025-02-19 15:25:00-05:00,-16.97800450841497,Stop Loss
NVDA,LONG,2025-06-03 15:45:00-04:00,12.097592587977163,End of Day Exit
NVDA,LONG,2025-08-22 15:45:00-04:00,38.81459361204873,End of Day Exit
NVDA,LONG,2025-09-30 10:30:00-04:00,28.614543978688214,Take Profit
AMZN,LONG,2021-07-13 13:15:00-04:00,-13.301674768372672,Stop Loss
AMZN,LONG,2021-08-05 15:45:00-04:00,6.082869629026776,End of Day Exit
AMZN,LONG,2021-11-18 10:05:00-05:00,17.858088835976115,Take Profit
AMZN,LONG,2021-12-30 15:40:00-05:00,-9.430184245629055,Stop Loss
AMZN,LONG,2022-01-11 11:15:00-05:00,30.746678713341026,Take Profit
AMZN,LONG,2022-03-17 10:45:00-04:00,-21.090400354118323,Stop Loss
AMZN,LONG,2022-11-14 11:15:00-05:00,-19.739404454201132,Stop Loss
AMZN,LONG,2023-08-25 10:05:00-04:00,-6.719950745389027,Stop Loss
AMZN,LONG,2023-12-29 10:40:00-05:00,-7.6680575838404454,Stop Loss
AMZN,LONG,2024-02-09 10:35:00-05:00,14.72039976587091,Take Profit
AMZN,LONG,2024-03-25 15:45:00-04:00,7.102015327529491,End of Day Exit
AMZN,LONG,2024-06-26 10:25:00-04:00,20.381755200609273,Take Profit
AMZN,LONG,2024-08-23 10:05:00-04:00,-9.842326076754363,Stop Loss
AMZN,LONG,2024-10-22 13:50:00-04:00,27.32218757356194,Take Profit
AMZN,LONG,2024-11-01 12:20:00-04:00,-18.63120342199141,Stop Loss
AMZN,LONG,2025-01-22 15:45:00-05:00,1.9175670507497231,End of Day Exit
AMZN,LONG,2025-04-29 14:25:00-04:00,28.931012215465287,Take Profit
AMZN,LONG,2025-07-09 10:30:00-04:00,-17.1051072799246,Stop Loss
