Ticker,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Dollars,Exit_Reason,Return_Pct,Compounded_Balance
CME,2022-09-29 09:45:00-04:00,150.37,2022-09-29 14:40:00+00:00,151.54,15.08,Take Profit,0.00377,4671.556039546578
SYK,2022-09-29 10:00:00-04:00,195.62,2022-09-29 15:45:00+00:00,197.48,18.65,Take Profit,0.0046625,4693.337169580964
ADI,2022-09-29 09:45:00-04:00,132.87,2022-09-29 16:45:00+00:00,133.21,4.52,Time Stop,0.00113,4698.640640582591
UNP,2022-10-05 10:00:00-04:00,185.7,2022-10-05 17:00:00+00:00,185.69,-0.54,Time Stop,-0.000135,4698.006324096112
SYK,2022-10-06 10:00:00-04:00,206.32,2022-10-06 14:25:00+00:00,204.56,-17.45,Stop Loss,-0.0043625,4677.511271507243
AAPL,2022-10-10 09:45:00-04:00,136.78,2022-10-10 14:25:00+00:00,137.58,11.05,Take Profit,0.0027625,4690.432896394781
AAPL,2022-10-11 09:55:00-04:00,136.47,2022-10-11 14:40:00+00:00,137.29,11.36,Take Profit,0.0028399999999999996,4703.753725820542
JPM,2022-10-11 14:50:00-04:00,94.65,2022-10-11 19:05:00+00:00,93.98,-15.05,Stop Loss,-0.0037625000000000002,4686.055852427143
UNP,2022-10-11 14:50:00-04:00,178.63,2022-10-11 19:05:00+00:00,177.66,-11.29,Stop Loss,-0.0028225,4672.8294597836675
ADI,2022-10-11 14:50:00-04:00,130.08,2022-10-11 19:10:00+00:00,129.25,-13.41,Stop Loss,-0.0033525,4657.163799019742
AVGO,2022-10-11 14:50:00-04:00,40.61,2022-10-11 19:15:00+00:00,40.31,-16.88,Stop Loss,-0.00422,4637.51056778788
AXP,2022-10-11 14:50:00-04:00,130.85,2022-10-11 19:15:00+00:00,129.91,-14.95,Stop Loss,-0.0037375,4620.177872040773
V,2022-10-11 14:55:00-04:00,174.44,2022-10-11 20:00:00+00:00,174.37,-1.26,EOD Close,-0.000315,4618.72251601108
AON,2022-10-11 14:55:00-04:00,270.0,2022-10-11 20:00:00+00:00,270.19,1.11,EOD Close,0.0002775,4620.004211509273
CME,2022-10-11 15:00:00-04:00,143.36,2022-10-11 20:00:00+00:00,143.65,3.49,EOD Close,0.0008725,4624.0351651838155
ADI,2022-10-18 14:45:00-04:00,131.43,2022-10-18 19:30:00+00:00,132.58,16.86,Take Profit,0.004215,4643.525473405066
AAPL,2022-10-18 14:40:00-04:00,138.84,2022-10-18 20:00:00+00:00,141.81,42.27,Take Profit,0.0105675,4692.595928845274
AVGO,2022-10-18 14:40:00-04:00,40.86,2022-10-18 20:00:00+00:00,41.15,12.24,EOD Close,0.0030600000000000002,4706.95527238754
AON,2022-10-20 09:45:00-04:00,268.98,2022-10-20 16:45:00+00:00,269.75,5.43,Time Stop,0.0013575,4713.344964169806
ADI,2022-10-24 10:00:00-04:00,135.19,2022-10-24 17:00:00+00:00,135.7,6.95,Time Stop,0.0017375000000000001,4721.534401045052
AXP,2022-10-31 09:45:00-04:00,142.49,2022-10-31 14:15:00+00:00,143.77,17.4,Take Profit,0.00435,4742.073075689598
CME,2022-10-31 10:00:00-04:00,146.38,2022-10-31 15:10:00+00:00,147.47,14.35,Take Profit,0.0035875,4759.0852628486355
UNP,2022-10-31 09:55:00-04:00,180.73,2022-10-31 15:15:00+00:00,182.25,16.33,Take Profit,0.004082499999999999,4778.514228434215
AVGO,2022-10-31 09:45:00-04:00,44.13,2022-10-31 15:25:00+00:00,44.55,17.01,Take Profit,0.0042525,4798.834860190632
AAPL,2022-11-01 09:45:00-04:00,150.9,2022-11-01 14:00:00+00:00,149.87,-14.2,Stop Loss,-0.0035499999999999998,4781.798996436954
NSC,2022-11-02 09:50:00-04:00,210.86,2022-11-02 14:55:00+00:00,212.22,12.52,Take Profit,0.00313,4796.766027295803
ECL,2022-11-02 14:50:00-04:00,134.66,2022-11-02 19:25:00+00:00,133.28,-21.05,Stop Loss,-0.0052625,4771.523046077159
MRK,2022-11-03 14:10:00-04:00,88.5,2022-11-03 18:20:00+00:00,88.86,7.2,Take Profit,0.0018,4780.111787560098
AAPL,2022-11-04 09:45:00-04:00,134.87,2022-11-04 14:20:00+00:00,137.84,43.46,Take Profit,0.010865,4832.0477021319375
TXN,2022-11-08 14:05:00-05:00,151.58,2022-11-08 19:25:00+00:00,150.46,-15.36,Stop Loss,-0.0038399999999999997,4813.492638955751
AXP,2022-11-08 14:25:00-05:00,142.68,2022-11-08 19:40:00+00:00,143.67,13.36,Take Profit,0.0033399999999999997,4829.569704369863
CME,2022-11-11 10:50:00-05:00,144.95,2022-11-11 17:00:00+00:00,146.66,23.11,Take Profit,0.0057775,4857.472543336859
AAPL,2022-11-14 09:50:00-05:00,145.2,2022-11-14 15:00:00+00:00,146.07,11.39,Take Profit,0.0028475,4871.30419640401
AAPL,2022-11-22 09:45:00-05:00,144.85,2022-11-22 15:05:00+00:00,145.69,10.99,Take Profit,0.0027475,4884.688104683631
AVGO,2022-11-29 11:15:00-05:00,48.92,2022-11-29 19:00:00+00:00,49.4,18.17,Take Profit,0.0045425000000000005,4906.876800399155
CME,2022-11-30 09:55:00-05:00,146.78,2022-11-30 15:15:00+00:00,146.2,-8.41,Stop Loss,-0.0021025,4896.560091926316
NSC,2022-11-30 09:45:00-05:00,233.16,2022-11-30 15:20:00+00:00,232.0,-10.28,Stop Loss,-0.00257,4883.975932490066
AXP,2022-11-30 09:50:00-05:00,145.83,2022-11-30 17:50:00+00:00,146.49,8.5,Time Stop,0.002125,4894.354381346608
AXP,2022-12-01 10:15:00-05:00,148.84,2022-12-01 17:30:00+00:00,150.78,25.47,Take Profit,0.0063675,4925.519182869833
AVGO,2022-12-05 09:55:00-05:00,50.64,2022-12-05 16:10:00+00:00,50.95,10.62,Take Profit,0.002655,4938.596436300353
SYK,2022-12-05 09:45:00-05:00,231.13,2022-12-05 17:45:00+00:00,231.37,1.73,Time Stop,0.0004325,4940.732379259053
MRK,2022-12-06 10:55:00-05:00,98.36,2022-12-06 16:25:00+00:00,97.97,-8.82,Stop Loss,-0.002205,4929.838064362787
UNP,2022-12-06 14:05:00-05:00,192.84,2022-12-06 20:35:00+00:00,193.85,10.01,Take Profit,0.0025025,4942.174984118856
NSC,2022-12-06 14:10:00-05:00,223.84,2022-12-06 20:40:00+00:00,225.21,11.89,Take Profit,0.0029725000000000003,4956.865599259148
V,2022-12-07 09:45:00-05:00,201.4,2022-12-07 17:45:00+00:00,202.29,8.44,Time Stop,0.00211,4967.324585673586
AON,2022-12-08 11:15:00-05:00,297.02,2022-12-08 16:35:00+00:00,298.26,8.11,Take Profit,0.0020275,4977.395836271039
CME,2022-12-12 10:05:00-05:00,150.79,2022-12-12 15:45:00+00:00,151.67,11.2,Take Profit,0.0028,4991.332544612598
AXP,2022-12-14 14:00:00-05:00,150.06,2022-12-14 19:05:00+00:00,149.23,-11.64,Stop Loss,-0.0029100000000000003,4976.807766907777
V,2022-12-14 14:05:00-05:00,208.17,2022-12-14 19:30:00+00:00,206.82,-13.37,Stop Loss,-0.0033425,4960.172786946887
NSC,2022-12-14 14:00:00-05:00,240.68,2022-12-14 19:35:00+00:00,239.11,-13.38,Stop Loss,-0.0033450000000000003,4943.58100897455
JPM,2022-12-14 14:05:00-05:00,123.37,2022-12-14 19:35:00+00:00,122.69,-11.64,Stop Loss,-0.0029100000000000003,4929.195188238435
MRK,2022-12-14 14:05:00-05:00,100.77,2022-12-14 19:45:00+00:00,100.38,-8.63,Stop Loss,-0.0021575,4918.56044961981
CAT,2022-12-14 14:05:00-05:00,222.25,2022-12-14 20:10:00+00:00,224.48,19.73,Take Profit,0.0049325,4942.82124903756
AON,2022-12-16 09:45:00-05:00,292.18,2022-12-16 17:45:00+00:00,291.24,-6.71,Time Stop,-0.0016775,4934.529666392299
SYK,2022-12-19 09:45:00-05:00,228.74,2022-12-19 15:10:00+00:00,230.71,16.91,Take Profit,0.0042275,4955.390390556973
