Ticker,Entry Time,Exit Time,Entry Price,Exit Price,Exit Reason,Shares,PnL
UBER,2025-01-27 13:00:00-05:00,2025-01-27 13:55:00-05:00,69.19,68.94,SL / Trail Exit,14.4519,-3.76
UBER,2025-02-04 14:40:00-05:00,2025-02-04 14:50:00-05:00,69.95,69.73,SL / Trail Exit,14.2959,-3.14
UBER,2025-02-04 15:00:00-05:00,2025-02-04 15:45:00-05:00,69.87,69.83,EOD Cutoff,14.3123,-0.57
UBER,2025-02-06 14:35:00-05:00,2025-02-06 14:55:00-05:00,69.81,69.36,SL / Trail Exit,14.3236,-6.52
UBER,2025-02-06 15:00:00-05:00,2025-02-06 15:45:00-05:00,69.55,69.84,EOD Cutoff,14.3781,4.1
UBER,2025-02-12 13:45:00-05:00,2025-02-12 15:10:00-05:00,79.45,79.58,SL / Trail Exit,12.5857,1.57
UBER,2025-02-13 13:25:00-05:00,2025-02-13 15:15:00-05:00,79.4,80.23,TP (3R Target),12.5945,10.43
UBER,2025-02-18 13:10:00-05:00,2025-02-18 14:10:00-05:00,81.11,80.95,Time Stop (Stagnant),12.3289,-1.97
UBER,2025-02-18 14:30:00-05:00,2025-02-18 15:45:00-05:00,81.08,81.31,EOD Cutoff,12.3335,2.84
UBER,2025-02-27 13:10:00-05:00,2025-02-27 14:05:00-05:00,77.12,76.23,SL / Trail Exit,12.9668,-11.54
UBER,2025-03-05 13:00:00-05:00,2025-03-05 13:05:00-05:00,75.7,75.2,SL / Trail Exit,13.21,-6.61
UBER,2025-03-05 13:25:00-05:00,2025-03-05 14:50:00-05:00,75.57,76.67,TP (3R Target),13.2328,14.56
UBER,2025-03-06 13:20:00-05:00,2025-03-06 13:30:00-05:00,76.33,75.92,SL / Trail Exit,13.101,-5.44
UBER,2025-03-19 13:30:00-04:00,2025-03-19 14:10:00-04:00,72.18,72.7,TP (3R Target),13.8543,7.13
UBER,2025-03-20 15:15:00-04:00,2025-03-20 15:45:00-04:00,74.35,74.43,EOD Cutoff,13.4499,1.08
UBER,2025-03-27 15:00:00-04:00,2025-03-27 15:45:00-04:00,74.89,74.83,EOD Cutoff,13.3529,-0.8
UBER,2025-06-23 15:00:00-04:00,2025-06-23 15:45:00-04:00,84.75,84.85,EOD Cutoff,11.7994,1.18
UBER,2025-06-24 14:45:00-04:00,2025-06-24 15:30:00-04:00,92.06,91.61,SL / Trail Exit,10.8619,-4.94
UBER,2025-06-26 15:10:00-04:00,2025-06-26 15:20:00-04:00,94.22,93.45,SL / Trail Exit,10.6129,-8.23
UBER,2025-07-07 15:05:00-04:00,2025-07-07 15:45:00-04:00,96.38,96.66,EOD Cutoff,10.3756,2.85
UBER,2025-07-08 13:10:00-04:00,2025-07-08 14:20:00-04:00,96.74,96.65,SL / Trail Exit,10.337,-0.93
UBER,2025-07-08 14:30:00-04:00,2025-07-08 15:45:00-04:00,96.9,97.27,EOD Cutoff,10.3202,3.89
UBER,2025-07-22 13:40:00-04:00,2025-07-22 14:40:00-04:00,91.49,92.08,TP (3R Target),10.9296,6.39
